===== Starting battle of <AnybodyThere> vs <PatientBot> with memory tape size: 22 =====

[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >8 | -1 | 1 | 1 | -1 | -1 | 42< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >8 | -1 | 1 | 1 | -1 | -1 | 43< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >7 | -1 | 1 | 1 | -1 | -1 | 44< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >7 | -1 | 1 | 1 | -1 | -1 | 45< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >6 | -1 | 1 | 1 | -1 | -1 | 46< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >6 | -1 | 1 | 1 | -1 | -1 | 47< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >5 | -1 | 1 | 1 | -1 | -1 | 48< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >5 | -1 | 1 | 1 | -1 | -1 | 49< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >4 | -1 | 1 | 1 | -1 | -1 | 50< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >4 | -1 | 1 | 1 | -1 | -1 | 51< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >3 | -1 | 1 | 1 | -1 | -1 | 52< | 128 ]
[ 128 | -5 | 5 | 0 | 0 | -5 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >3 | -1 | 1 | 1 | -1 | -1 | 53< | 128 ]
