===== Starting battle of <FastClearBot> vs <Bigger> with memory tape size: 12 =====

[ -119< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >101 ]
[ -118< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >100 ]
[ -117< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >100 ]
[ -116< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >99 ]
[ -115< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >99 ]
[ -114< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >98 ]
[ -113< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >98 ]
[ -112< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >97 ]
[ -111< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >97 ]
[ -110< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >96 ]
[ -110< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >96 ]
[ -111< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >95 ]
[ -111< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >95 ]
[ -112< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >94 ]
[ -112< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >94 ]
[ -113< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >93 ]
[ -113< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >93 ]
[ -114< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >92 ]
[ -114< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >92 ]
[ -115< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >91 ]
[ -115< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >91 ]
[ -116< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >90 ]
[ -116< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >90 ]
[ -117< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >89 ]
[ -117< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >89 ]
[ -118< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >88 ]
[ -118< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >88 ]
[ -119< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >87 ]
[ -119< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >87 ]
[ -120< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >86 ]
[ -120< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >86 ]
[ -121< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >85 ]
[ -121< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >85 ]
[ -122< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >84 ]
[ -122< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >84 ]
[ -123< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >83 ]
[ -123< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >83 ]
