===== Starting battle of <Backtracker> vs <CounterPunch> with memory tape size: 16 =====

[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8< | -12 | 12 | -12 | 12 | >-36 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11< | 8 | -12 | 12 | -12 | 12 | >-37 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1< | -11 | 8 | -12 | 12 | -12 | 12 | >-37 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-38 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-38 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 3< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-39 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 3< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-39 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-40 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 5< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-40 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 6< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-41 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 7< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-41 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 8< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-42 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 9< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-42 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 9< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-43 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 8< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-43 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 8< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-44 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 7< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-44 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 7< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-45 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 6< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-45 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 6< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-46 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 5< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-46 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 5< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-47 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4< | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-47 | -127 ]
