===== Starting battle of <BeatYouMate> vs <PolarBear> with memory tape size: 18 =====

[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 27< | 0 | 0 | 0 | 0 | 0 | 0 | >12 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 27< | 0 | 0 | 0 | 0 | 0 | 0 | >11 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 28< | 0 | 0 | 0 | 0 | 0 | 0 | >11 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 28< | 0 | 0 | 0 | 0 | 0 | 0 | >10 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 29< | 0 | 0 | 0 | 0 | 0 | 0 | >10 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 29< | 0 | 0 | 0 | 0 | 0 | 0 | >9 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 30< | 0 | 0 | 0 | 0 | 0 | 0 | >9 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 30< | 0 | 0 | 0 | 0 | 0 | 0 | >8 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 31< | 0 | 0 | 0 | 0 | 0 | 0 | >8 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 31< | 0 | 0 | 0 | 0 | 0 | 0 | >7 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 32< | 0 | 0 | 0 | 0 | 0 | 0 | >7 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 32< | 0 | 0 | 0 | 0 | 0 | 0 | >6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 33< | 0 | 0 | 0 | 0 | 0 | 0 | >6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 33< | 0 | 0 | 0 | 0 | 0 | 0 | >5 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 34< | 0 | 0 | 0 | 0 | 0 | 0 | >5 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 34< | 0 | 0 | 0 | 0 | 0 | 0 | >4 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 35< | 0 | 0 | 0 | 0 | 0 | 0 | >4 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 35< | 0 | 0 | 0 | 0 | 0 | 0 | >3 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 36< | 0 | 0 | 0 | 0 | 0 | 0 | >3 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 36< | 0 | 0 | 0 | 0 | 0 | 0 | >2 | 6 | 128 ]
